zip_code,lat,lng,zhvi_value
06390,41.27027,-71.98886,464567.0995565022
10001,40.75064,-73.99728,1723246.207
10002,40.71597,-73.98692,1013080.327
10003,40.73184,-73.98915,1385863.576
10004,40.69431,-74.01835,1188064.021
10005,40.70614,-74.00862,1115158.471
10006,40.70949,-74.01306,997199.0148
10007,40.71387,-74.00792,3021684.539
10009,40.72639,-73.97865,1042102.269
10010,40.73899,-73.98243,1284446.083
10011,40.74173,-74.00037,1616599.333
10012,40.7256,-73.99794,2696508.531
10013,40.72001,-74.00472,3478689.925
10014,40.73407,-74.00601,1882428.026
10016,40.74515,-73.97807,938346.244
10017,40.75235,-73.9726,752780.2832
10018,40.75536,-73.99265,1384350.026
10019,40.76586,-73.9853,1175496.417
10020,40.75917,-73.98071,464567.0995565022
10021,40.76963,-73.95899,1409783.663
10022,40.75856,-73.96787,1117071.332
10023,40.77464,-73.97836,1406501.141
10024,40.78534,-73.97138,1583470.111
10025,40.79825,-73.96831,1104072.557
10026,40.80302,-73.95348,862848.0154
10027,40.81187,-73.95459,857054.8269
10028,40.77643,-73.95339,1403213.971
10029,40.79265,-73.94788,768584.8224
10030,40.81826,-73.94283,713238.4771
10031,40.82485,-73.95023,595209.9368
10032,40.839,-73.94282,616549.6446
10033,40.84744,-73.93549,622691.3629
10034,40.86749,-73.92358,470087.7138
10035,40.79538,-73.92965,742330.7123
10036,40.75976,-73.99064,993099.6219
10037,40.81302,-73.93776,588487.9876
10038,40.70914,-74.00298,464567.0995565022
10039,40.82631,-73.93752,641838.277
10040,40.85807,-73.9296,522215.8564
10044,40.76209,-73.94981,944875.7657
10065,40.76472,-73.96332,1600334.123
10069,40.77752,-73.98875,1920553.721
10075,40.77342,-73.95642,1176896.314
10103,40.76078,-73.97767,464567.0995565022
10110,40.7545,-73.98226,464567.0995565022
10111,40.75953,-73.97858,464567.0995565022
10112,40.75891,-73.97904,464567.0995565022
10115,40.81085,-73.96374,464567.0995565022
10119,40.75064,-73.99273,464567.0995565022
10128,40.78151,-73.95018,1180828.382
10152,40.75872,-73.9718,464567.0995565022
10153,40.76362,-73.97244,464567.0995565022
10154,40.75778,-73.97249,464567.0995565022
10162,40.76936,-73.94986,464567.0995565022
10165,40.75213,-73.97872,464567.0995565022
10167,40.75465,-73.97477,464567.0995565022
